mouse,n_trials,r2_signed,r2_unsigned,delta_r2
WCL30,844,0.2753231881410163,0.0007411822777618537,0.27458200586325443
WCL31,1018,0.015179246790885758,0.04541846766634914,-0.03023922087546338
WCL32,709,0.07788160449642692,0.03141808082797497,0.04646352366845195
WCL33,1127,0.28575656894834384,0.013047911778209898,0.27270865717013393
